,Title,Hunt Dates,Bag Limit,ONLY MEANS ALLOWED,Hunt Method,Baiting,Hunt Restrictions,MEANS NOT ALLOWED,Available,Fee per adult,Fee per youth,Youth ages,Adult minimum age,Supervising adult minimum age,Applicants,Permits/Groups,Success Rate,Draw Probability
10,Lake Somerville SP - Birch Creek Unit,"Dec01,2021; Dec03,2021",Three White-tailed Deer; Antlerless OnlyUnlimited Feral Hogs,Shotguns with Slugs,Assigned Blind; Hunters may bring portable blinds however use will be at hunt coordinator's discretion. Hunters will be taken to and from blinds by Department staff.,Allowed,,,14,$80.00 ,$0.00 ,16-Aug,17,18,933,14,64%,0.015005359
11,Lake Somerville SP - Nails Creek Unit,"Dec08,2021; Dec10,2021",Two White-tailed Deer; Antlerless OnlyUnlimited Feral Hogs,Shotguns with Slugs,Assigned Blind; Hunters may bring portable blinds however use will be at hunt coordinator's discretion. Hunters will be taken to and from blinds by Department staff.,Allowed,,,4,$80.00 ,$0.00 ,16-Aug,17,18,,,,
12,Lake Whitney SP,"Dec06,2021; Dec08,2021",One White-tailed Deer; Antlerless or Spike BuckUnlimited Feral Hogs,Muzzleloaders .45 Caliber or Larger,Assigned Blind,Allowed,,,40,$80.00 ,$0.00 ,16-Aug,17,18,443,40,47%,0.090293454
13,Mason Mountain WMA,"Dec07,2021; Dec09,2021",Two White-tailed Deer; Either Sex; Limit One Antlerless and One Spike Buck; Buck must have at least one unbranched antler.Unlimited Feral Hogs; Either SexUnlimited Coyotes; Either Sex,,Compartment,Allowed,,,52,$80.00 ,$0.00 ,16-Aug,17,18,1225,42,100%,0.04244898
14,Matador WMA,"Dec01,2021; Dec05,2021",Three White-tailed Deer; Antlerless OnlyUnlimited Feral HogsUnlimited Coyotes,,Compartment,Not allowed,,Shotguns,30,$130.00 ,$0.00 ,16-Aug,17,18,524,30,52%,0.057251908
15,Nannie Stringfellow WMA,"Dec07,2021; Dec09,2021",Two White-tailed Deer; Antlerless or Spike Buck; Limit One Spike BuckUnlimited Feral Hogs,Centerfire Rifles with Mounted Scopes,Assigned Blind; ATVs and ORVs highly recommended.,Allowed,,,23,$80.00 ,$0.00 ,16-Aug,17,18,563,23,74%,0.040852575
16,Pedernales Falls SP,"Nov16,2021; Nov18,2021",Two White-tailed Deer; Antlerless or Spike Buck; Limit One Spike BuckUnlimited Feral HogsUnlimited Exotic Mammals,Centerfire Rifles .243 or Larger,Assigned Blind; Bring a more comfortable chair or seat.,Allowed,Commercially packaged deer corn is only permissible bait.,,24,$80.00 ,$0.00 ,16-Aug,17,18,1795,24,68%,0.013370474
17,San Angelo SP,"Nov09,2021; Nov11,2021",Four White-tailed Deer; Antlerless or Spike Buck; Limit One Spike BuckOne JavelinaUnlimited Feral HogsOne Exotic Mammals,Centerfire Rifles,Assigned Blind,Allowed,,,20,$80.00 ,$0.00 ,16-Aug,17,18,1136,20,83%,0.017605634
18,Seminole Canyon SP / HS,"Nov15,2021; Nov19,2021",Two White-tailed Deer; Antlerless or Spike Buck; Limit One Spike Buck,Centerfire Rifles .243 or Larger,Compartment,Allowed,,,10,$130.00 ,$0.00 ,16-Aug,17,18,283,,,0.035335689
19,South Llano River SP,"Dec07,2021; Dec09,2021",Three White-tailed Deer; Antlerless or Spike BuckUnlimited Feral Hogs; Either SexUnlimited Axis Deer; Either SexUnlimited Fallow Deer; Either SexUnlimited Sika Deer; Either Sex,Centerfire Rifles .243 or Larger,"Assigned Blind; Corn must be labeled as containing less than 30 ppb aflotoxin, and in it's original container.",Allowed,,,20,$80.00 ,$0.00 ,16-Aug,17,18,4244,30,86%,0.004712535
